round,score,avg_score_200,reward,avg_reward_200,coins,kills,suicides,crates_destroyed,alive_fraction
6232,1,2.09,-58.4,152.52,1,0,0,13,0
6233,0,2.07,-216.2,150.21,0,0,1,8,0
6234,0,2.07,304.8,152.22,0,0,0,14,1
6235,1,2.07,30.3,150.98,1,0,0,11,0
6236,3,2.08,247.1,151.33,3,0,0,12,0
6237,3,2.08,52.9,151.08,3,0,0,5,0
6238,4,2.09,531.9,152.67,4,0,0,22,1
6239,1,2.08,98.3,151.93,1,0,0,20,0
6240,3,2.1,75.2,152.68,3,0,1,10,0
6241,2,2.06,276.1,151.84,2,0,0,14,0
6242,0,2.06,272.4,153.0,0,0,0,9,1
6243,3,2.06,227.0,153.33,3,0,0,13,0
6244,0,2.06,-61.7,151.98,0,0,0,6,0
6245,1,2.06,162.4,152.03,1,0,1,9,0
6246,3,2.06,145.7,151.86,3,0,1,10,0
6247,2,2.06,99.6,151.03,2,0,1,16,0
6248,2,2.06,329.1,152.6,2,0,0,24,0
6249,0,2.05,0.2,152.06,0,0,0,11,0
6250,1,2.06,113.8,153.2,1,0,0,10,0
6251,1,2.02,248.9,153.6,1,0,0,17,1
6252,1,2.02,315.6,153.69,1,0,1,25,0
6253,1,2.0,95.0,152.02,1,0,1,11,0
6254,1,1.99,-89.5,148.97,1,0,1,10,0
6255,1,1.99,231.6,148.96,1,0,0,20,0
6256,3,1.99,235.6,149.46,3,0,0,20,0
6257,3,1.97,283.8,151.19,3,0,0,14,0
6258,0,1.95,-32.2,150.98,0,0,0,2,0
6259,0,1.94,-82.7,149.7,0,0,0,7,0
6260,1,1.94,37.0,149.66,1,0,1,13,0
6261,2,1.95,297.3,150.93,2,0,1,26,0
6262,3,1.96,214.8,151.47,3,0,0,17,0
6263,0,1.95,14.6,149.7,0,0,0,5,0
6264,1,1.93,195.3,148.58,1,0,1,16,0
6265,0,1.93,91.3,149.54,0,0,0,8,0
6266,1,1.93,243.2,149.24,1,0,0,23,0
6267,1,1.93,7.8,148.86,1,0,1,12,0
6268,2,1.94,51.5,149.15,2,0,1,14,0
6269,1,1.94,71.3,149.43,1,0,0,13,0
6270,1,1.94,301.5,150.23,1,0,0,10,0
6271,2,1.94,356.1,151.16,2,0,1,19,0
6272,0,1.93,15.5,150.85,0,0,0,10,0
6273,0,1.92,-42.5,148.86,0,0,1,11,0
6274,3,1.92,252.4,148.12,3,0,0,18,0
6275,5,1.94,166.3,148.19,0,1,1,15,0
6276,0,1.93,129.1,147.52,0,0,0,9,0
6277,3,1.93,418.7,148.69,3,0,0,22,1
6278,3,1.95,377.4,150.62,3,0,1,18,0
6279,5,1.97,594.4,153.41,5,0,0,27,1
6280,2,1.97,337.4,154.96,2,0,0,22,0
6281,4,1.98,280.1,155.03,4,0,1,16,0
6282,1,1.98,248.8,156.33,1,0,0,19,1
6283,7,2.0,416.3,156.58,2,1,0,18,0
6284,3,2.0,16.5,154.24,3,0,1,4,0
6285,1,2.0,105.0,153.39,1,0,0,13,0
6286,2,2.0,82.1,153.35,2,0,1,10,0
6287,6,2.02,282.0,154.46,1,1,0,18,0
6288,4,2.04,545.9,156.51,4,0,0,17,1
6289,1,2.04,4.0,156.05,1,0,0,6,0
6290,3,2.04,144.3,156.01,3,0,0,15,1
6291,3,2.04,492.3,157.3,3,0,0,22,1
6292,6,2.07,277.8,157.02,1,1,0,18,0
6293,4,2.08,280.3,156.36,4,0,0,12,0
6294,10,2.12,399.5,157.59,5,1,1,18,0
